"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[3.1,4.7]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1995,1996,1997]","Number of deer per km2","[4.7,9.8,9.2]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[7.4,13.9]","MULTIPOINT((-61.25 45.75))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[6.7,4.3]","MULTIPOINT((-65.25 44.333333))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.6]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[12.7,9.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[2.3,1.9]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[7.4,13.9]","MULTIPOINT((-61.25 45.75))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[6.7,4.3]","MULTIPOINT((-65.25 44.333333))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.6]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[3.1,4.7]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1995,1996,1997]","Number of deer per km2","[4.7,9.8,9.2]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[7.4,13.9]","MULTIPOINT((-61.25 45.75))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[6.7,4.3]","MULTIPOINT((-65.25 44.333333))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.6]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[12.7,9.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[2.3,1.9]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[3.1,4.7]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1995,1996,1997]","Number of deer per km2","[4.7,9.8,9.2]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[7.4,13.9]","MULTIPOINT((-61.25 45.75))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[6.7,4.3]","MULTIPOINT((-65.25 44.333333))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.6]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[12.7,9.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[2.3,1.9]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[3.1,4.7]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1995,1996,1997]","Number of deer per km2","[4.7,9.8,9.2]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[7.4,13.9]","MULTIPOINT((-61.25 45.75))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[6.7,4.3]","MULTIPOINT((-65.25 44.333333))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.6]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[12.7,9.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[2.3,1.9]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[3.1,4.7]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1995,1996,1997]","Number of deer per km2","[4.7,9.8,9.2]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[7.4,13.9]","MULTIPOINT((-61.25 45.75))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Canis latrans","[1996,1997]","Number of individuals per 100 km2","[6.7,4.3]","MULTIPOINT((-65.25 44.333333))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.6]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[12.7,9.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[2.3,1.9]","MULTIPOINT((-65.090012 44.451082))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepus americanus","[1996,1997]","Number of pellets per m2","[3.1,4.7]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1996,1997]","Number of deer per km2","[2.4,1.3]","MULTIPOINT((-61.1985 45.9668))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Odocoileus virginianus","[1995,1996,1997]","Number of deer per km2","[4.7,9.8,9.2]","MULTIPOINT((-61.164851 45.857738))","Living planet index database",NA,"Patterson, B. R. and F. Messier (2001). ""Social organization and space use of Coyotes in Eastern Canada relative to prey distribution and abundance."" Journal of Mammalogy 82(2): 463-477.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
