"observed_scientific_name","years","unit","values","geom","original_source","creator","title","publisher","intellectual_rights","license","owner"
"Lepisosteus oculatus","[2002,2003]","Fish caught per trap net","[0.2308,0.1333]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Labidesthes sicculus","[2002,2003]","Fish caught per bag seine","[6.3,34.96]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepomis gulosus","[2002,2003]","Fish caught per hoop net","[1.5375,1.5207]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Noturus gyrinus","[2002,2003]","Fish caught per hoop net","[0.9048,0.1154]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus natalis","[2002,2003]","Fish caught per hoop net","[0.075,0.1361]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus melas","[2002,2003]","Fish caught per hoop net","[0.3571,0.3462]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Pimephales notatus","[2002,2003]","Fish caught per bag seine","[2.2,4.46]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ictiobus cyprinellus","[2002,2003]","Fish caught per trap net","[0.0769,0.4667]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Umbra limi","[2002,2003]","Fish caught per hoop net","[0.1125,0.05325]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Esox americanus","[2002,2003]","Fish caught per bag seine","[0.1,0.16]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepisosteus oculatus","[2002,2003]","Fish caught per trap net","[0.2308,0.1333]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Labidesthes sicculus","[2002,2003]","Fish caught per bag seine","[6.3,34.96]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepomis gulosus","[2002,2003]","Fish caught per hoop net","[1.5375,1.5207]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Noturus gyrinus","[2002,2003]","Fish caught per hoop net","[0.9048,0.1154]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus natalis","[2002,2003]","Fish caught per hoop net","[0.075,0.1361]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus melas","[2002,2003]","Fish caught per hoop net","[0.3571,0.3462]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Pimephales notatus","[2002,2003]","Fish caught per bag seine","[2.2,4.46]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ictiobus cyprinellus","[2002,2003]","Fish caught per trap net","[0.0769,0.4667]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Umbra limi","[2002,2003]","Fish caught per hoop net","[0.1125,0.05325]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Esox americanus","[2002,2003]","Fish caught per bag seine","[0.1,0.16]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepisosteus oculatus","[2002,2003]","Fish caught per trap net","[0.2308,0.1333]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Labidesthes sicculus","[2002,2003]","Fish caught per bag seine","[6.3,34.96]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Lepomis gulosus","[2002,2003]","Fish caught per hoop net","[1.5375,1.5207]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Noturus gyrinus","[2002,2003]","Fish caught per hoop net","[0.9048,0.1154]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus natalis","[2002,2003]","Fish caught per hoop net","[0.075,0.1361]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ameiurus melas","[2002,2003]","Fish caught per hoop net","[0.3571,0.3462]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Pimephales notatus","[2002,2003]","Fish caught per bag seine","[2.2,4.46]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Ictiobus cyprinellus","[2002,2003]","Fish caught per trap net","[0.0769,0.4667]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Umbra limi","[2002,2003]","Fish caught per hoop net","[0.1125,0.05325]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
"Esox americanus","[2002,2003]","Fish caught per bag seine","[0.1,0.16]","MULTIPOINT((-82.517801 41.970728))","Living planet index database",NA,"Surette, H. J. (2006). Processes influencing temporal variation in fish species composition in Point Pelee National Park. Department of Integrative Biology. Guelph, Ontario, University of Guelph. Master of Science: 116.","WWF/ZSL",NA,"Data Use Policy: Living Planet Database","WWF/ZSL"
